% This ascii data file is produced by extracting Columns #4 (z), #5 (logFUV), #6 (sigma_logFUV), #7 (logFX), and #8 (sigma_logFX) from 'table3.dat' made available under title 'Quasars as standard candles. III.: J/A+A/642/A150' in VizieR (URL: http://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/642/A150), which is the data used by Lusso, E., et al., A&A 642, A150, 24 (2020); e-print: https://arxiv.org/abs/2008.08586.
%
% Columns:
% z - redshift
% logFUV - rest-frame flux at 2500 Angstroem in units of log(erg/s/cm^2^)
% sigma_logFUV - error on rest-frame flux at 2500 Angstroem
% logFX - rest-frame flux at 2keV in units of log(erg/s/cm^2^)
% sigma_logFX - error on rest-frame flux at 2keV
%
% Credits: 
% Peter Raffai, Gergely Dalya, Alexandra Karsai; 
% Institute of Physics, Eotvos Lorand University, H-1117 Budapest, Pazmany P. s. 1/A.
% All rights reserved. (2021)
% Contact: peter.raffai@ttk.elte.hu
%
% z logFUV sigma_logFUV logFX sigma_logFX
1.2335 -27.55522 0.00964 -31.24348 0.02754
1.0577 -27.64276 0.0105 -31.35666 0.04342
0.8835 -27.22825 0.01319 -31.16449 0.01543
0.6952 -27.37546 0.01387 -31.21119 0.01216
1.5449 -27.21194 0.01023 -31.37551 0.03531
1.0345 -27.54964 0.01203 -31.21718 0.03146
0.4427 -27.15179 0.01299 -31.18613 0.05549
0.7605 -27.0683 0.00995 -30.50232 0.00766
1.1606 -27.46164 0.01682 -31.27468 0.03322
1.3452 -27.25295 0.00953 -31.45314 0.04324
0.9214 -27.43876 0.01683 -31.40605 0.02914
1.2463 -27.38011 0.01023 -31.4712 0.0339
1.9247 -27.19946 0.00936 -31.22703 0.07482
1.083 -27.58356 0.01131 -30.6115 0.00597
0.6498 -27.84484 0.0201 -31.36278 0.03218
0.7545 -27.85806 0.01547 -31.32588 0.03133
0.7147 -28.06786 0.02234 -31.48282 0.03154
0.7144 -26.81622 0.01116 -30.50228 0.00365
0.8628 -27.34596 0.00812 -31.46556 0.03417
1.2267 -27.58428 0.01391 -31.53678 0.0413
1.8639 -27.17867 0.00611 -31.31813 0.06242
0.8561 -27.73111 0.01127 -31.48571 0.0475
0.551 -27.71533 0.02173 -31.46945 0.03535
1.1477 -27.51923 0.00844 -31.38497 0.03183
1.6391 -27.24441 0.00902 -31.40039 0.06273
1.0757 -27.7063 0.01295 -31.44501 0.02842
1.6796 -27.33842 0.01052 -31.61167 0.04627
1.2055 -27.71414 0.01034 -31.58433 0.04537
0.7422 -27.59225 0.01321 -31.38634 0.03677
0.7724 -27.75296 0.0123 -31.56902 0.0382
0.8478 -27.66818 0.01522 -31.53454 0.03855
0.7632 -27.69298 0.01459 -31.32804 0.03321
0.8111 -27.98076 0.02173 -31.51736 0.03515
0.5052 -27.91707 0.03594 -31.5442 0.03057
0.8185 -27.77847 0.01494 -31.61273 0.04141
1.0685 -27.58538 0.01058 -31.58906 0.04261
1.2253 -27.34665 0.0093 -31.47801 0.05249
0.751 -28.0053 0.02255 -31.57258 0.03249
0.2436 -27.1566 0.02321 -30.53794 0.01704
1.1496 -27.70981 0.01043 -31.53258 0.06255
0.9505 -27.70472 0.01557 -31.42262 0.03327
0.7861 -27.97922 0.01822 -31.48707 0.04806
0.5563 -27.50247 0.01331 -31.41072 0.03479
1.1516 -27.60658 0.01253 -31.59939 0.03994
0.3656 -28.09133 0.05168 -31.47186 0.04336
0.2525 -27.373 0.01885 -30.63941 0.00849
1.6448 -27.49303 0.00951 -31.61691 0.0549
1.1749 -27.46341 0.00765 -31.59634 0.05987
1.1816 -27.05722 0.01316 -31.47548 0.03008
0.6496 -27.44872 0.01221 -30.73555 0.01259
0.2916 -27.43388 0.0171 -30.7585 0.01374
0.76 -27.7746 0.0155 -31.68132 0.04349
1.1105 -27.73501 0.01107 -31.61144 0.043
1.0501 -27.81082 0.01201 -31.57445 0.04016
1.156 -27.60397 0.01503 -31.5955 0.02665
0.5285 -27.77006 0.0225 -31.54009 0.04052
0.9066 -27.4881 0.0109 -31.61267 0.03019
0.773 -27.70099 0.01739 -31.43117 0.0387
0.5745 -28.10489 0.03682 -31.6528 0.04688
0.7893 -27.76056 0.02017 -31.70683 0.05365
0.5695 -27.9565 0.02211 -31.50769 0.02963
0.9628 -27.85101 0.01201 -31.63938 0.06607
0.6923 -27.79992 0.02076 -30.85473 0.01332
0.5579 -27.21919 0.01221 -30.77764 0.01165
0.5798 -27.66955 0.01575 -31.73161 0.06252
0.559 -27.90385 0.02286 -31.76709 0.05549
1.1551 -27.58524 0.00903 -31.51615 0.0483
1.871 -26.66852 0.01357 -31.00575 0.02328
0.8308 -27.19782 0.01141 -30.86097 0.01728
0.3137 -27.20002 0.01148 -30.81716 0.01415
0.4855 -26.83615 0.01662 -30.77774 0.01536
0.999 -27.35743 0.01009 -30.91955 0.02339
0.4518 -27.04692 0.01937 -30.73031 0.01751
0.7652 -27.71477 0.01522 -30.93289 0.02418
0.3539 -27.39946 0.01605 -30.98111 0.01904
0.3684 -27.8372 0.03342 -30.94734 0.01826
0.9665 -27.81333 0.01248 -31.87937 0.03741
0.7061 -27.63829 0.01464 -31.00605 0.02064
2.0356 -27.7759 0.01153 -31.47554 0.03782
0.78 -27.7292 0.01424 -30.94834 0.01495
2.857 -27.6116 0.01575 -31.38164 0.05551
0.8886 -27.8373 0.01035 -31.30387 0.02037
1.6304 -28.1898 0.0223 -31.50655 0.04465
1.0676 -27.2147 0.00854 -31.28949 0.03278
0.3814 -27.3564 0.03157 -30.96735 0.03383
1.184 -26.8421 0.0083 -30.73094 0.02477
1.9737 -28.0237 0.01822 -31.73919 0.05828
1.4831 -28.3964 0.03295 -32.07248 0.0445
1.3709 -27.6565 0.01145 -31.45881 0.0267
1.1138 -27.9253 0.01272 -31.70532 0.02451
1.0852 -27.516 0.011 -31.50051 0.02435
1.9088 -28.3039 0.02967 -32.09953 0.06898
1.4769 -27.7515 0.0101 -31.57145 0.05164
2.0712 -28.2065 0.02053 -31.8493 0.06631
1.8804 -27.7793 0.0117 -31.82969 0.10221
1.855 -28.1209 0.01717 -31.63343 0.05628
0.9103 -27.876 0.01516 -31.49858 0.02226
1.356 -27.5434 0.01048 -31.5698 0.03943
1.2747 -27.417 0.00847 -31.05622 0.0219
3.412 -27.3647 0.01668 -31.66604 0.10141
1.3849 -28.1248 0.01537 -31.30363 0.02465
1.3929 -28.2073 0.01828 -32.03741 0.08045
2.209 -28.158 0.02377 -31.84291 0.14206
1.3561 -28.0646 0.01314 -31.96551 0.04323
0.5222 -28.1011 0.03009 -31.49617 0.03233
1.8667 -27.6762 0.01257 -31.40693 0.03055
2.983 -27.818 0.02175 -31.71268 0.16183
1.8486 -28.1969 0.01659 -32.13473 0.09158
0.729 -26.891 0.01055 -30.61643 0.00832
0.8448 -27.607 0.01322 -31.43533 0.03572
2.859 -27.9919 0.03686 -31.53722 0.10677
1.6881 -27.9714 0.01244 -31.89815 0.04782
1.434 -27.8074 0.01004 -31.56482 0.02815
1.0259 -27.8951 0.01117 -31.705 0.02636
0.4765 -27.6217 0.01714 -31.03158 0.03748
1.56 -27.0256 0.00837 -31.24566 0.07475
1.6332 -28.0665 0.01621 -32.04724 0.08974
1.5672 -28.0291 0.0126 -31.7759 0.04643
1.9977 -27.7002 0.01132 -31.49814 0.08879
1.7005 -27.7521 0.01102 -31.45936 0.05029
1.5373 -27.4168 0.00739 -31.50554 0.02726
1.6215 -26.6677 0.00544 -30.77745 0.04749
1.1099 -27.205 0.0102 -31.24026 0.03033
0.5994 -27.4402 0.01802 -31.06587 0.02936
0.9036 -27.3472 0.01141 -31.0385 0.02022
1.566 -26.8565 0.00837 -31.12912 0.04267
0.309 -26.637 0.00709 -30.03778 0.00434
0.9996 -27.5884 0.01287 -31.21477 0.02187
1.276 -27.8394 0.01189 -31.7863 0.06608
1.8036 -28.2558 0.02047 -31.93743 0.07066
3.282 -27.7953 0.02169 -31.82952 0.08477
1.7004 -28.137 0.02013 -31.9114 0.05319
0.935 -27.8223 0.01087 -31.2112 0.0191
2.411 -27.7154 0.01855 -31.7742 0.19004
2.111 -27.6876 0.01226 -31.92543 0.11539
1.0239 -27.2558 0.01183 -31.62956 0.04225
1.3968 -27.5491 0.00899 -31.36153 0.03211
0.259 -26.7152 0.00653 -30.29199 0.02271
0.593 -27.518 0.01554 -31.0668 0.0232
1.3759 -28.4948 0.02658 -32.0085 0.03857
1.193 -28.4328 0.02414 -31.93529 0.03938
1.7249 -27.7375 0.01012 -31.63365 0.06379
0.4481 -27.1174 0.01223 -30.73902 0.02727
0.8404 -27.8204 0.01393 -31.53443 0.02334
2.0572 -28.0642 0.01807 -31.78974 0.10133
0.6128 -26.7986 0.0088 -31.03534 0.02766
0.6819 -27.179 0.01087 -30.96973 0.03341
0.777 -26.6802 0.0078 -30.48578 0.02145
0.886 -27.4349 0.0103 -31.3418 0.04229
0.825 -27.3899 0.01068 -31.20253 0.0177
2.156 -27.3904 0.00724 -31.40634 0.06233
2.126 -28.0608 0.01918 -32.0464 0.09775
2.0549 -27.9667 0.01742 -31.49008 0.06904
1.012 -27.702 0.0122 -31.85968 0.03878
2.655 -27.8653 0.02933 -31.4617 0.08842
0.9828 -27.5128 0.00889 -31.41113 0.02261
2.326 -27.7029 0.01664 -31.54657 0.0688
1.694 -27.0456 0.00674 -31.21796 0.07689
0.5762 -26.9505 0.00967 -30.55054 0.00965
1.807 -27.1528 0.00756 -31.21859 0.0478
1.5186 -27.6862 0.01156 -31.34049 0.03835
1.005 -27.3094 0.01117 -30.96862 0.02558
1.6796 -27.3646 0.00765 -31.79727 0.11199
1.5838 -28.4749 0.02352 -32.17514 0.13226
1.8995 -28.2229 0.01623 -31.80448 0.05598
2.1182 -27.6973 0.01104 -31.94494 0.14642
1.5862 -27.8686 0.01136 -31.57454 0.04779
0.7811 -28.2165 0.02146 -31.97413 0.0323
2.639 -27.9106 0.0279 -31.73644 0.11396
1.2759 -27.2852 0.00809 -31.13388 0.02976
1.3751 -27.5292 0.00857 -31.18388 0.02283
0.76 -27.2902 0.01155 -30.69457 0.0163
1.3172 -27.2328 0.00771 -31.28738 0.04539
0.613 -26.7795 0.01065 -30.32097 0.01499
1.2934 -27.8075 0.01069 -31.50993 0.03239
2.875 -27.6133 0.01583 -31.63017 0.08048
2.651 -28.5034 0.13306 -32.02081 0.16133
1.6982 -28.6114 0.03749 -31.41393 0.01896
1.3667 -27.8933 0.01089 -31.8317 0.03232
1.1911 -27.8424 0.01215 -31.28131 0.02435
1.9362 -27.279 0.01033 -31.40116 0.05975
1.0529 -27.7425 0.011 -31.6701 0.03287
1.5801 -27.9132 0.01594 -31.52879 0.03524
1.0632 -27.51 0.00794 -32.08731 0.04508
2.138 -28.1413 0.01732 -31.95389 0.09302
1.9622 -27.9875 0.01292 -31.76314 0.09241
2.1037 -28.3168 0.02128 -32.01705 0.0829
2.13 -27.6816 0.01021 -31.71255 0.08343
0.427 -27.3825 0.02113 -30.82745 0.00905
1.6082 -27.9339 0.019 -31.73032 0.0486
2.588 -28.0593 0.03265 -32.07952 0.14682
2.741 -27.6016 0.0247 -31.41444 0.05984
0.4011 -26.3402 0.00697 -30.20914 0.03201
1.4418 -27.3164 0.00728 -31.47004 0.05103
1.9526 -27.4257 0.00924 -31.25667 0.06235
2.904 -28.0933 0.0407 -31.74675 0.07039
1.2082 -28.1448 0.01591 -31.87671 0.02877
1.4153 -28.188 0.01681 -32.25517 0.05692
0.6393 -27.5185 0.01337 -31.03223 0.01162
1.9095 -28.4589 0.0268 -32.06824 0.11088
1.667 -26.8549 0.01096 -30.86091 0.01359
0.4064 -26.7142 0.00835 -30.4867 0.0236
1.4112 -27.3126 0.00737 -31.53527 0.0691
2.498 -27.285 0.00991 -31.31299 0.09485
0.3814 -27.5894 0.02089 -30.99039 0.02196
1.3172 -27.0897 0.02657 -31.2436 0.0589
0.472 -27.4841 0.0164 -31.15067 0.02193
1.2528 -27.427 0.00784 -31.27772 0.03111
1.6326 -27.7092 0.00966 -31.36186 0.04084
0.4514 -27.3439 0.01362 -30.94254 0.02716
1.597 -28.1689 0.01521 -31.72648 0.03857
0.3934 -27.3339 0.01661 -30.77715 0.01374
0.3978 -27.3298 0.01484 -30.90332 0.03368
1.712 -26.9097 0.00773 -31.29982 0.08656
0.72 -26.9108 0.01282 -31.25065 0.02772
2.976 -27.7523 0.02338 -31.72586 0.11702
1.4665 -27.1089 0.00719 -30.43381 0.0228
1.437 -27.738 0.01059 -31.5919 0.05918
1.5715 -27.1331 0.008 -31.40607 0.03378
1.271 -27.857 0.01279 -31.79922 0.0599
0.6473 -27.3616 0.01441 -31.33122 0.03769
1.297 -27.5323 0.01046 -31.62103 0.06375
0.8569 -27.468 0.01019 -31.36962 0.02735
0.2427 -27.0984 0.0151 -30.94584 0.01551
0.395 -27.7453 0.02907 -31.04445 0.035
0.8724 -27.6553 0.01074 -31.73345 0.04063
0.7605 -27.7863 0.01502 -31.82549 0.05133
0.165 -26.2838 0.00716 -29.96446 0.01337
0.784 -28.088 0.02234 -31.48226 0.023
2.0394 -27.7567 0.01051 -31.80675 0.07534
2.1501 -27.9315 0.01578 -31.79112 0.07357
1.7779 -26.8851 0.0142 -31.00188 0.02211
2.1208 -27.9307 0.02037 -31.76553 0.06831
0.6607 -26.7229 0.00773 -30.79535 0.0198
1.3537 -27.839 0.01026 -31.38353 0.04518
1.2501 -27.2663 0.00894 -31.17523 0.02489
1.603 -27.7362 0.00972 -31.46983 0.04702
2.405 -27.3754 0.01209 -31.75644 0.1622
0.464 -27.0002 0.01206 -30.48407 0.01316
0.7231 -27.1061 0.0099 -31.02351 0.01957
2.097 -27.6547 0.00887 -31.49011 0.13462
0.6238 -26.8722 0.01026 -31.15241 0.03455
1.3239 -27.419 0.00759 -31.29971 0.05523
2.601 -27.3681 0.01361 -31.51634 0.17022
0.567 -27.5691 0.01529 -31.1387 0.02382
1.957 -27.2197 0.01021 -31.41131 0.10462
2.376 -27.5623 0.01721 -31.60553 0.03155
1.4251 -28.0718 0.01216 -32.03139 0.07049
0.621 -27.3982 0.01233 -31.00626 0.01932
0.8315 -27.6077 0.01052 -31.47819 0.03107
2.0701 -28.0756 0.01382 -31.5738 0.01932
1.5824 -27.2996 0.00847 -31.41528 0.02649
0.9689 -27.6484 0.01016 -31.54551 0.03938
1.448 -27.6848 0.00996 -31.3612 0.03604
1.406 -27.5166 0.01006 -31.48851 0.05386
0.2435 -27.3851 0.01346 -30.86799 0.02475
0.9803 -27.2085 0.01049 -30.93677 0.0258
1.371 -26.9358 0.00669 -31.00069 0.03434
0.766 -27.2123 0.01138 -31.22386 0.03149
0.696 -27.5296 0.01649 -31.58155 0.03976
1.399 -27.9262 0.01052 -31.41126 0.03178
1.222 -27.3815 0.00933 -31.25722 0.03728
1.301 -27.6595 0.00942 -31.53574 0.04454
0.738 -27.5415 0.01765 -32.13135 0.07109
0.9737 -27.8601 0.01327 -31.52365 0.03242
1.688 -28.4071 0.02648 -31.53902 0.02412
1.7253 -27.052 0.00771 -31.33842 0.07174
0.4366 -27.3913 0.01522 -30.74789 0.00705
3.198 -28.1522 0.04752 -31.87496 0.09192
0.8468 -27.4772 0.01247 -31.27007 0.02309
1.025 -27.8315 0.0207 -31.52729 0.03404
1.428 -28.0226 0.01553 -31.81667 0.04365
1.121 -28.2936 0.01983 -32.00725 0.03999
1.032 -28.2254 0.01673 -31.79578 0.03655
0.8624 -27.5835 0.01162 -31.39214 0.02136
1.054 -27.7369 0.01138 -31.56178 0.02933
1.156 -27.6618 0.01097 -31.71092 0.04884
0.628 -28.2392 0.04237 -31.65556 0.03318
1.061 -28.0544 0.01517 -31.6255 0.02895
1.027 -28.1083 0.01841 -31.84976 0.02962
1.1568 -28.1085 0.01271 -31.57131 0.01564
1.2595 -27.9567 0.01204 -31.68647 0.03303
1.884 -27.6586 0.01182 -31.89911 0.08661
1.102 -27.401 0.00939 -31.64784 0.04647
1.1971 -28.0139 0.01273 -31.89014 0.05393
2.356 -28.209 0.03782 -32.08323 0.15789
2.699 -27.7195 0.02335 -31.83552 0.05188
1.3569 -28.4904 0.03124 -32.03074 0.04294
1.707 -28.3099 0.01858 -31.86198 0.03097
2.182 -27.8824 0.01604 -31.93869 0.09439
1.052 -27.4472 0.01876 -31.32741 0.02714
0.9607 -28.3209 0.02211 -32.07128 0.03395
1.596 -28.1804 0.01962 -31.83267 0.02913
1.4955 -27.7019 0.01084 -31.73535 0.0331
1.388 -27.7524 0.01305 -31.79886 0.04462
1.404 -27.8144 0.01335 -31.58978 0.02433
1.087 -27.9769 0.01692 -32.52225 0.07424
2.261 -28.1138 0.02718 -31.8441 0.08996
1.397 -27.7983 0.01122 -31.62422 0.02711
1.446 -27.843 0.0135 -31.87321 0.05584
1.287 -27.9914 0.01537 -31.71805 0.02968
2.214 -27.6978 0.01259 -31.4684 0.04076
1.538 -28.1472 0.0169 -31.56864 0.03219
1.1336 -27.8624 0.01118 -31.5152 0.02973
2.09 -27.515 0.00943 -31.56096 0.06965
1.451 -27.5879 0.00893 -31.58475 0.03602
1.7 -27.598 0.01318 -31.34728 0.05203
1.842 -27.7414 0.01264 -31.37049 0.04065
2.072 -27.2757 0.00905 -31.48373 0.08576
0.9559 -27.7834 0.00918 -31.36252 0.01911
1.788 -27.5503 0.00962 -31.4914 0.03588
1.3106 -28.1113 0.02024 -31.94196 0.04836
2.086 -27.8706 0.01343 -31.57989 0.06861
1.915 -27.6544 0.00952 -31.79947 0.0822
2.734 -27.9267 0.03732 -31.74435 0.11425
2.0411 -27.8135 0.01312 -31.58594 0.05775
1.031 -27.9247 0.01398 -31.63171 0.03274
2.652 -27.7543 0.02709 -31.64814 0.22858
1.6508 -27.6762 0.00974 -31.67139 0.07039
1.006 -27.7779 0.01276 -31.72283 0.03435
1.412 -27.2937 0.01116 -31.88795 0.08246
0.501 -26.9733 0.01187 -31.62995 0.06119
1.109 -27.8232 0.01301 -32.0005 0.05637
1.565 -27.6682 0.00971 -31.71923 0.06381
1.356 -27.736 0.01116 -31.56677 0.01896
1.416 -27.948 0.01429 -31.76397 0.06008
1.353 -27.6743 0.01031 -31.67359 0.05359
1.023 -28.0155 0.01685 -31.69304 0.03373
2.204 -27.8498 0.0145 -31.86648 0.07163
1.3777 -27.0578 0.01168 -31.31491 0.04391
1.687 -27.7145 0.01436 -31.1851 0.0167
1.8185 -27.6058 0.01075 -31.48931 0.05253
1.1654 -27.8734 0.01554 -31.71382 0.0364
1.8843 -28.0653 0.01586 -31.70164 0.07809
1.5733 -27.3162 0.00939 -31.23308 0.01832
1.564 -27.6739 0.01207 -31.47725 0.04456
1.354 -27.8628 0.01227 -31.68964 0.04421
1.773 -27.8891 0.01334 -31.71551 0.08111
0.413 -27.3469 0.01274 -31.03566 0.06077
2.19 -27.8678 0.01929 -31.43311 0.03914
0.789 -27.4576 0.01221 -31.74268 0.04372
1.117 -27.8913 0.01147 -31.7019 0.04311
2.0513 -28.3642 0.03375 -32.20166 0.11044
1.9322 -27.6044 0.01132 -31.80107 0.08512
1.92 -27.9132 0.01668 -31.82305 0.09744
1.8261 -28.0303 0.01505 -31.49097 0.03416
1.915 -27.7205 0.01484 -31.60741 0.10292
2.329 -27.8634 0.02105 -31.7111 0.08272
1.504 -27.6085 0.00994 -31.73511 0.05037
1.9973 -27.7726 0.01063 -31.72301 0.09897
2.452 -27.2752 0.01405 -31.4899 0.11179
1.4241 -26.9419 0.00835 -30.87206 0.05956
2.316 -28.0965 0.03145 -31.67365 0.04894
0.3114 -26.7369 0.00739 -30.94373 0.04798
1.671 -27.6589 0.01155 -31.44431 0.04012
2.301 -27.6362 0.01798 -31.62152 0.08198
1.5583 -27.7864 0.0119 -31.72513 0.06488
1.286 -27.4692 0.0074 -31.22508 0.03117
1.766 -28.0889 0.01882 -32.42567 0.16256
0.606 -27.9962 0.03132 -31.54285 0.0353
0.904 -27.5675 0.01153 -31.43822 0.0293
0.4234 -27.6153 0.01759 -30.78369 0.02698
1.2313 -28.2913 0.02326 -31.89104 0.04069
0.707 -27.4312 0.01478 -31.45643 0.0393
0.8719 -27.4417 0.00748 -31.25275 0.02463
1.655 -27.7242 0.01322 -31.86425 0.07917
1.478 -27.6528 0.01244 -31.42584 0.03884
1.43 -27.908 0.0151 -31.32374 0.03067
0.931 -27.7606 0.01182 -31.43691 0.02398
2.289 -27.705 0.01441 -31.52676 0.07494
1.585 -27.8126 0.01581 -31.62557 0.05744
1.7497 -27.6313 0.00861 -31.47093 0.06189
1.933 -27.6025 0.01076 -31.57104 0.08146
2.393 -27.7544 0.01463 -31.55265 0.07687
2.006 -27.9848 0.01286 -31.7088 0.06249
1.015 -27.7131 0.01077 -31.25013 0.0213
0.769 -27.6278 0.01078 -31.35293 0.01953
0.72 -26.9297 0.00796 -30.97408 0.01484
0.802 -27.902 0.01867 -31.74023 0.04304
0.447 -27.5357 0.01298 -30.99477 0.01833
0.67 -27.9172 0.02048 -31.49155 0.02849
0.649 -27.0243 0.01059 -31.20468 0.01929
1.954 -27.9591 0.01256 -32.16172 0.15064
1.8731 -27.5246 0.01175 -31.44905 0.08008
2.553 -27.5313 0.01442 -31.35847 0.07639
0.6971 -26.8615 0.00971 -30.65043 0.01402
1.2637 -27.0888 0.00812 -31.3123 0.02667
1.6089 -27.4974 0.00829 -31.71256 0.0649
0.884 -27.7399 0.01133 -31.3968 0.02966
0.954 -27.8165 0.01109 -31.29267 0.02643
1.218 -28.0376 0.01414 -31.66472 0.03954
0.7721 -27.6 0.01477 -31.35107 0.0204
1.0748 -27.7407 0.01247 -32.03487 0.04506
2.27 -27.932 0.01596 -31.99555 0.08232
1.1327 -27.9327 0.01068 -31.23161 0.01328
1.857 -27.6357 0.01032 -31.9922 0.0848
1.8013 -27.9056 0.01781 -31.78403 0.04171
0.9785 -27.7923 0.01311 -31.86109 0.0324
3.075 -28.0375 0.0484 -32.00666 0.15632
1.565 -27.2397 0.01342 -31.49124 0.09297
1.107 -27.2438 0.00893 -30.78854 0.01496
0.382 -27.1607 0.01228 -31.32623 0.07931
1.055 -28.0951 0.01318 -31.76865 0.03572
0.687 -28.1106 0.04649 -31.73708 0.06491
1.009 -27.7889 0.00941 -31.66124 0.041
2.35 -28.1655 0.02886 -31.64746 0.06422
0.4679 -26.4482 0.00905 -30.40545 0.0173
1.5244 -27.9273 0.01105 -31.87998 0.07027
2.492 -27.2151 0.01019 -31.35356 0.0477
0.5208 -27.4788 0.02269 -31.5717 0.07941
2.0348 -27.459 0.01402 -31.75718 0.07535
1.1747 -27.8764 0.01213 -31.67315 0.03228
1.6757 -28.2276 0.01722 -31.85188 0.09536
0.6271 -27.6703 0.01952 -31.03089 0.01241
2.263 -26.9452 0.0085 -31.43882 0.07199
2.87 -27.8869 0.02609 -31.86804 0.06517
1.3051 -28.3381 0.02094 -31.82622 0.03767
1.2465 -27.8744 0.01267 -31.21911 0.03819
1.0138 -27.8033 0.01228 -31.71833 0.03183
0.5633 -27.0917 0.01032 -31.10857 0.01471
0.8823 -26.8906 0.00893 -30.97918 0.01811
0.6599 -27.4419 0.01484 -30.99628 0.01371
0.4446 -27.2977 0.01695 -31.16087 0.02873
