% This file was produced by combining data in 'SCPUnion2.1_AllSNe.tex' and 'SCPUnion2.1_mu_vs_z.txt', both of them downloaded from the Union2.1 Supernova Cosmology Project website: http://supernova.lbl.gov/Union/ (see under titles 'Full Table of All SNe' and 'Union2.1 Compilation Magnitude vs. Redshift Table (for your own cosmology fitter)'). The data was originally used in Suzuki et al., ApJ 746, 1, 85, 24 (2012); e-print: https://arxiv.org/abs/1105.3470
%
% Columns:
% z - redshift
% m_B^max - apparent magnitude in the B-band at maximum light
% sigma_mB - 1 sigma uncertainty of m_B^max
% x1 - stretch (the deviation of the SNIa lightcurve from the average lightcurve shape)
% sigma_x1 - 1 sigma uncertainty of x1
% c - color (the deviation of the SNIa B−V color from the mean SNIa B−V color)
% sigma_c - 1 sigma uncertainty of c
% P(true<thresh.) - probability that the host galaxy belongs in a low-host-mass category; for an explanation of this, see Section 4.1 in Suzuki et al. 2012
% Sample - an integer number from 1-19 indicating which survey sample the SNIa data was taken from. The names of the surveys are listed in a reversed order in Figure 3 of Suzuki et al. 2012.
%
% Credits: 
% Peter Raffai, Gergely Dalya, Alexandra Karsai; 
% Institute of Physics, Eotvos Lorand University, H-1117 Budapest, Pazmany P. s. 1/A.
% All rights reserved. (2021)
% Contact: peter.raffai@ttk.elte.hu
%
% z	m_B^max	sigma_mB	x1	sigma_x1	c	sigma_c	P(true<thresh.)	Sample
0.016	14.54	0.14	0.77	0.14	0.05	0.02	0.0	6
0.0249	16.51	0.11	-2.3	0.46	0.3	0.04	4.231227e-06	6
0.0303	16.24	0.09	-0.04	0.16	-0.03	0.02	4.96800001137e-09	6
0.0283	16.62	0.08	0.08	0.38	0.17	0.01	0.128418942246	6
0.0152	15.28	0.21	-3.55	0.48	-0.04	0.06	0.128418942246	6
0.0345	17.54	0.09	-1.73	0.68	0.27	0.04	9.21700005208e-09	6
0.036	16.7	0.07	-0.81	0.5	0.1	0.02	0.128418942246	6
0.0248	16.23	0.1	-2.06	0.26	0.01	0.02	0.128418942246	6
0.0292	16.59	0.08	0.27	0.17	-0.02	0.01	0.128418942246	6
0.0163	16.66	0.14	-2.3	0.27	0.5	0.03	0.128418942246	6
0.0187	15.69	0.12	0.77	0.19	0.02	0.01	0.012399792616	6
0.0195	15.62	0.12	-1.35	0.19	0	0.02	0.128418942246	6
0.0256	16.66	0.09	-1.62	0.3	0.04	0.02	0.128418942246	6
0.0337	17.2	0.08	-0.98	0.25	0.22	0.04	0.0	6
0.0546	17.64	0.05	-2.32	0.36	0.03	0.03	0.0	6
0.024	16.32	0.1	-1.82	0.37	0.1	0.03	0.128418942246	6
0.0336	16.95	0.08	-2.28	0.45	-0.01	0.03	0.128418942246	6
0.0341	17.11	0.08	-1.26	0.27	0.17	0.03	0.128418942246	6
0.0261	16.46	0.09	-2.6	0.57	0.04	0.04	0.004314509643	6
0.0211	15.84	0.1	-0.25	0.11	0.19	0.01	0.128418942246	6
0.0321	16.96	0.07	0.01	0.22	0.15	0.02	0.128418942246	6
0.0221	15.46	0.1	0.35	0.18	-0.04	0.02	0.128418942246	6
0.0334	17.34	0.08	-1.04	0.26	0.26	0.03	9.24477300002e-06	6
0.0341	16.36	0.07	0.76	0.13	-0.07	0.02	0.128418942246	6
0.0421	17.22	0.08	-2.32	0.28	-0.06	0.03	0.128418942246	6
0.0576	17.71	0.04	1.03	0.14	0.02	0.01	0.996265053657	6
0.0205	16.12	0.11	0.5	0.2	0.36	0.01	0.128418942246	6
0.0402	17.59	0.06	-1.53	0.2	0.14	0.01	0.128418942246	6
0.026	17.23	0.09	-3.1	0.27	0.32	0.02	1.7670300001e-07	6
0.0259	16.11	0.09	0.18	0.12	0.01	0.01	0.033789980906	6
0.0239	16.14	0.09	-1.08	0.12	0.12	0.01	1.09587499997e-06	6
0.069	18.35	0.07	-1.89	0.44	-0.05	0.04	3.07778750001e-05	6
0.0651	18	0.04	0.31	0.21	0.01	0.01	1.0	6
0.0229	16.44	0.1	-0.76	0.3	0.19	0.01	0.089659819877	6
0.0315	16.44	0.07	-1.65	0.09	-0.04	0.01	0.0	6
0.0215	16.13	0.1	-1.63	0.13	0.13	0.01	1.1733000016e-08	6
0.0255	18.89	0.09	-1.59	0.57	0.93	0.02	0.128418942246	6
0.0325	16.9	0.07	0.16	0.1	0.17	0.01	0.0	6
0.0843	18.15	0.08	2.43	0.86	-0.12	0.04	0.128418942246	6
0.0308	17.41	0.08	-2.14	0.27	0.34	0.03	0.128418942246	6
0.0327	17.75	0.07	0.19	0.09	0.4	0.01	0.128418942246	6
0.0423	17.05	0.06	-0.66	0.32	-0.04	0.02	0.0	6
0.0684	18.12	0.04	1.4	0.5	-0.05	0.02	0.0	6
0.0153	17.88	0.14	-0.05	0.16	1.01	0.01	0.128418942246	6
0.0233	15.97	0.09	-0.07	0.11	0.16	0.01	0.011101109848	6
0.0491	17.56	0.05	0.06	0.5	0.06	0.01	0.0	6
0.0425	16.98	0.06	1.25	0.48	0.21	0.03	0.128418942246	6
0.0192	15.74	0.12	-1.56	0.16	0.05	0.02	8.36000046966e-10	6
0.0308	16.74	0.08	-0.69	0.14	0.08	0.02	0.128418942246	6
0.0212	15.92	0.11	0.75	0.26	0.2	0.02	0.128418942246	6
0.0277	17.63	0.09	-2.09	0.28	0.4	0.02	0.128418942246	6
0.0335	16.91	0.07	0.55	0.12	0.13	0.01	0.128418942246	6
0.0208	15.8	0.12	-2.85	0.23	-0.01	0.03	0.128418942246	6
0.0173	14.73	0.16	0.63	0.08	-0.04	0.01	0.128418942246	6
0.036	17.37	0.07	-2.58	0.25	0.09	0.03	0.128418942246	6
0.0233	15.95	0.09	0.77	0.23	0.06	0.01	0.128418942246	6
0.0589	17.85	0.04	0.89	0.31	0.05	0.01	1.0	6
0.0583	18.22	0.04	-2.76	0.25	0.06	0.02	0.0	6
0.0688	18.38	0.06	0.63	0.78	0.12	0.04	0.027111473488	6
0.0321	17.57	0.08	-0.72	0.16	0.47	0.02	0.128418942246	6
0.0522	17.99	0.05	-1.43	0.27	0.19	0.03	0.128418942246	6
0.0308	16.78	0.07	0.31	0.1	0.22	0.01	0.128418942246	6
0.0329	16.81	0.07	0.65	0.12	0.11	0.01	0.00076391263	6
0.023	16.11	0.1	-1.51	0.23	0.07	0.01	0.128418942246	6
0.015	15.7	0.15	-1.59	0.27	0.18	0.02	0.128418942246	6
0.0321	16.5	0.08	-0.36	0.18	-0.04	0.02	0.000101920284	6
0.0643	17.73	0.04	1.45	0.27	0.02	0.02	0.128418942246	6
0.032	16.85	0.1	1.28	0.26	0.2	0.02	0.128418942246	6
0.0209	16.58	0.11	-3.5	0.26	0.31	0.03	0.128418942246	6
0.0219	15.86	0.1	-1.69	0.18	0.05	0.02	3.80834000002e-07	6
0.032	16.55	0.07	-1.78	0.16	0.03	0.02	7.81762000024e-07	6
0.0151	15.89	0.15	0.37	0.13	0.29	0.01	0.128418942246	6
0.0192	15.89	0.12	-3.2	0.23	0.13	0.03	0.006396224841	6
0.0266	16.43	0.09	-0.39	0.09	0.15	0.01	0.128418942246	6
0.0377	17.17	0.08	-3.68	1.3	0.1	0.06	0.128418942246	6
0.0247	15.79	0.09	-0.62	0.16	0.05	0.01	0.128418942246	6
0.0242	15.86	0.09	0.42	0.08	0.01	0.01	0.435402819564	6
0.0366	16.75	0.06	-0.83	0.14	-0	0.02	0.128418942246	6
0.0229	16.02	0.1	0.53	0.08	0.1	0.01	0.128418942246	6
0.0312	16.6	0.07	-1.76	0.16	-0.07	0.02	0.0	6
0.015	15.78	0.15	1.09	0.12	0.45	0.01	0.128418942246	6
0.0341	16.94	0.1	-1.93	0.29	0.1	0.04	0.0	6
0.0251	15.68	0.09	0.25	0.12	0.03	0.01	0.0	6
0.0189	15.11	0.13	-1.88	0.28	-0.07	0.04	0.10474237468	6
0.029802136901	16.88	0.07	-1.76	0.06	0.2	0.01	0.128418942246	7
0.032134016861	16.81	0.08	-1.34	0.11	0.24	0.01	0.128418942246	7
0.027568725911	17.21	0.08	-2.41	0.11	0.31	0.01	0.128418942246	7
0.046967334616	17.42	0.05	1.12	0.13	0.15	0.01	0.128418942246	7
0.018315232036	18.25	0.12	-0.65	0.31	1.26	0.02	0.128418942246	7
0.080048144002	18.41	0.03	0.03	0.09	0.02	0.01	0.128418942246	7
0.02418529908	15.82	0.09	0.24	0.15	0.04	0.01	0.128418942246	7
0.015027042763	15.67	0.15	-1.43	0.22	0.35	0.01	0.128418942246	7
0.028396026812	16.24	0.08	1.11	0.09	0.06	0.01	9.90000303958e-11	7
0.044976672611	17.3	0.05	0.39	0.06	0.03	0.01	0.930467219184	7
0.032912371088	16.78	0.07	-1.33	0.1	-0.02	0.01	0.128418942246	7
0.075350111982	18.39	0.03	0.12	0.08	0.04	0.01	0.996080571775	7
0.02037472453	15.55	0.11	-1.89	0.08	-0.01	0.01	0.000769867316	7
0.022971167578	15.88	0.1	0.76	0.06	0.06	0.01	0.128418942246	7
0.026809197481	15.92	0.08	-0.75	0.08	-0.05	0.01	0.128418942246	7
0.017931283363	14.98	0.12	-0.18	0.05	-0.03	0.01	0.128418942246	7
0.048392195395	18.29	0.08	-2.49	0.18	0.25	0.04	0.128418942246	7
0.056683367075	17.86	0.04	-0.07	0.25	0.08	0.01	0.128418942246	7
0.063864083696	18.36	0.04	-1.22	0.25	0.08	0.02	0.551671793295	8
0.146290296068	20.94	0.04	-0.17	0.34	0.27	0.03	0.551671793295	8
0.129278206634	20.38	0.05	-3	0.26	0.17	0.04	2.58499999184e-09	8
0.102715033935	19.16	0.04	-0.42	0.33	-0.03	0.03	0.551671793295	8
0.242504680476	20.97	0.05	0.4	0.93	0.08	0.04	0.551671793295	8
0.29840927363	22.02	0.11	1.12	1.08	0.16	0.06	0.551671793295	8
0.04371891149	17.55	0.06	-0.94	0.43	0.14	0.02	0.551671793295	8
0.113042644637	19.11	0.03	1.19	0.43	0	0.02	0.551671793295	8
0.256475742725	21.53	0.06	-0.97	0.61	0.04	0.04	0.551671793295	8
0.295585550063	21.6	0.06	0.72	1.24	-0.06	0.04	0.551671793295	8
0.380359487336	22.18	0.08	-1.87	0.65	-0.16	0.08	0.551671793295	8
0.145668547261	20.3	0.03	-1.01	0.5	0.17	0.02	0.551671793295	8
0.273454768884	21.22	0.06	2.98	0.65	0.06	0.03	0.551671793295	8
0.297518833561	21.74	0.06	-1.85	1.56	0.02	0.05	0.551671793295	8
0.378965802039	22.17	0.08	0.65	1.13	-0.01	0.06	0.551671793295	8
0.380416514286	22.05	0.08	1.2	1.01	0.09	0.06	0.551671793295	8
0.301755029535	22.33	0.08	2.5	1.51	0.18	0.06	0.551671793295	8
0.348345020835	22.01	0.07	0.62	1.39	0.03	0.07	0.551671793295	8
0.085689459361	19.12	0.04	-0.89	0.12	0.13	0.02	0.004916236676	8
0.260586108317	21.23	0.05	-1.27	0.39	-0.06	0.03	0.551671793295	8
0.215543320953	20.9	0.04	0.22	0.52	-0.03	0.03	0.551671793295	8
0.117625328764	19.07	0.03	0.59	0.13	-0.05	0.02	7.41867000054e-07	8
0.18221823956	20.28	0.04	0.63	0.22	0.03	0.02	0.551671793295	8
0.357507357032	22.17	0.08	-0.04	1.12	0.05	0.06	0.551671793295	8
0.141787999126	20.06	0.03	0.97	0.34	0.08	0.02	0.551671793295	8
0.260533476953	21.29	0.05	1.12	0.39	-0.03	0.03	0.551671793295	8
0.232781107182	21	0.09	0.83	0.57	0.08	0.04	0.551671793295	8
0.151857894665	19.7	0.03	0.23	0.15	-0.06	0.02	0.989888621753	8
0.09390863189	18.64	0.04	0.8	0.26	-0.06	0.02	0.551671793295	8
0.286618706522	21.6	0.05	-0.05	0.48	-0.06	0.03	0.551671793295	8
0.194316512142	21	0.04	0.48	0.35	0.16	0.02	0.551671793295	8
0.147025138268	19.58	0.03	0.46	0.14	-0.14	0.01	4.30000479668e-11	8
0.2115869815	21.78	0.05	-2.04	0.51	0.11	0.04	0.551671793295	8
0.180119779968	20.57	0.03	-0.01	0.19	0.09	0.02	0.551671793295	8
0.263491026592	21.15	0.04	0.69	0.25	-0.09	0.02	0.551671793295	8
0.192149980044	20.65	0.03	0.06	0.26	-0.03	0.02	0.001229231543	8
0.338802609134	21.79	0.07	1.75	0.64	-0	0.04	0.551671793295	8
0.117277362889	19.8	0.03	-0.35	0.13	0.13	0.02	0.551671793295	8
0.1424046524	19.82	0.03	0.62	0.14	0.03	0.02	0.830402042657	8
0.160861854636	20.23	0.03	1.18	0.2	0.15	0.02	9.9997787828e-13	8
0.288418344585	21.56	0.06	-1.26	0.5	-0.06	0.04	0.551671793295	8
0.12282889997	19.97	0.05	-1.19	0.26	0.13	0.04	0.551671793295	8
0.263647950642	21.35	0.04	-0.04	0.36	0.04	0.03	0.551671793295	8
0.126473161901	20.04	0.03	-1.2	0.16	0.19	0.02	0.586055835562	8
0.172742230556	20.24	0.03	-0.12	0.18	0.01	0.02	0.551671793295	8
0.163795894987	20.25	0.03	0.22	0.18	0.06	0.02	1.0	8
0.249511054792	21.57	0.04	1.44	0.35	0.11	0.03	0.551671793295	8
0.257740303509	21	0.05	0.37	0.36	-0.12	0.03	0.551671793295	8
0.106712340103	19.58	0.04	-0.88	0.22	0.05	0.03	0.867576933443	8
0.159889937748	20.33	0.03	-0.8	0.18	0.07	0.02	0.999968604262	8
0.204979685349	21.1	0.04	-0.43	0.29	0.13	0.02	0.551671793295	8
0.244378876797	20.78	0.04	0.71	0.29	-0.01	0.02	0.551671793295	8
0.248508130676	20.94	0.04	0.16	0.29	-0	0.02	0.551671793295	8
0.228528473881	20.81	0.04	0.68	0.26	-0.03	0.02	0.551671793295	8
0.085854644144	18.75	0.03	-0.55	0.12	0.01	0.01	1.0	8
0.061835764694	18.03	0.04	0.83	0.16	0.11	0.02	0.987710988495	8
0.277853422619	21.9	0.06	-1.49	0.49	0.07	0.05	0.551671793295	8
0.275440197435	21.52	0.05	0.53	0.47	0.05	0.03	0.551671793295	8
0.155247328221	20.35	0.03	-1.42	0.17	0.06	0.02	0.551671793295	8
0.330512448683	21.95	0.06	-0.18	0.55	0	0.04	0.551671793295	8
0.361934308832	22.1	0.07	0.12	0.63	0.01	0.04	0.551671793295	8
0.33063462833	22.1	0.07	0.65	0.46	0.17	0.04	0.551671793295	8
0.144621085972	20.38	0.03	-0.64	0.14	0.12	0.02	1.0	8
0.389288787688	22.23	0.08	-0.25	0.79	-0.04	0.06	0.551671793295	8
0.173910056566	20.3	0.05	-0.93	0.3	-0.02	0.03	0.551671793295	8
0.300312695802	21.69	0.06	-0.2	0.42	0.05	0.04	0.551671793295	8
0.116348502599	19.46	0.03	0.92	0.18	0.04	0.01	1.0	8
0.218585189041	21.17	0.03	-0.29	0.26	0.09	0.02	0.551671793295	8
0.119671538006	19.65	0.03	0.03	0.12	0.08	0.01	0.551671793295	8
0.154632097239	19.83	0.02	1.44	0.21	-0.02	0.01	0.999997454964	8
0.408319092164	22.47	0.09	-1.13	0.77	-0.09	0.07	0.551671793295	8
0.177600694977	20.9	0.04	-0.34	0.38	0.03	0.03	1.0	8
0.25066763111	21.35	0.04	1.46	0.34	0.03	0.02	0.551671793295	8
0.251740186424	21.41	0.04	-0.49	0.28	0.04	0.02	0.551671793295	8
0.391599213441	22.33	0.08	1.42	1.05	0.12	0.06	0.551671793295	8
0.128726735467	20.13	0.02	0.47	0.12	0.25	0.01	0.551671793295	8
0.399601334976	22.19	0.1	-1.19	0.81	-0.15	0.09	0.551671793295	8
0.309492645411	21.57	0.05	-0.05	0.47	-0.06	0.03	0.551671793295	8
0.170628396749	20.44	0.03	-0.84	0.24	0.07	0.02	0.551671793295	8
0.278924676328	21.46	0.05	-0.67	0.42	-0.04	0.03	0.551671793295	8
0.308580866071	21.8	0.07	-0.78	0.94	0.04	0.05	0.551671793295	8
0.18581244671	20.46	0.04	0.49	0.27	-0	0.02	0.551671793295	8
0.06644031234	18.66	0.04	-0.77	0.17	0.2	0.01	0.543563084394	8
0.316429844695	22.12	0.08	2.09	1.09	0.11	0.05	0.551671793295	8
0.257497888297	21.52	0.04	0.28	0.47	0.11	0.02	0.551671793295	8
0.298777444088	21.52	0.06	0.14	0.67	-0.08	0.03	0.551671793295	8
0.270434442827	21.69	0.04	-2.15	0.61	0.02	0.03	0.551671793295	8
0.27945473261	21.49	0.05	-2.05	0.47	0.02	0.03	0.551671793295	8
0.292469756082	21.78	0.04	0.51	0.61	0.09	0.03	0.551671793295	8
0.188853175387	20.95	0.03	-0.7	0.34	0.16	0.02	7.8208394e-05	8
0.265762479518	20.93	0.04	-0.35	0.35	-0.13	0.02	0.551671793295	8
0.124273528772	19.62	0.03	-0.13	0.15	0.08	0.01	0.029911743888	8
0.182548913397	20.27	0.03	0.63	0.22	-0.06	0.01	0.986226043013	8
0.312883364158	21.58	0.05	0.45	0.56	-0.03	0.03	0.551671793295	8
0.309547337158	21.8	0.05	-1.09	0.74	-0.09	0.04	0.551671793295	8
0.089019429294	18.67	0.04	-0.34	0.18	0.04	0.02	0.551671793295	8
0.402459619216	22.5	0.09	1.17	1.22	0.01	0.07	0.551671793295	8
0.200611719928	20.98	0.05	-2.26	0.39	0.05	0.03	1.0	8
0.326396483203	21.63	0.05	0.34	0.69	-0	0.03	0.551671793295	8
0.211629598493	20.83	0.03	-0.23	0.22	0.05	0.02	0.551671793295	8
0.17968564077	20.55	0.03	-0.34	0.25	0.03	0.02	1.0	8
0.093149402685	19.16	0.03	-1.86	0.15	-0.02	0.02	0.551671793295	8
0.30240162108	22.06	0.04	-0.93	0.42	0.09	0.03	0.551671793295	8
0.108638265524	19.52	0.03	-1.73	0.2	-0.02	0.02	0.551671793295	8
0.085696117065	18.8	0.08	-0.7	0.24	0.01	0.04	0.551671793295	8
0.202608679897	20.77	0.04	0.3	0.38	0.05	0.03	1.0	8
0.196716068579	21.27	0.04	-2.59	0.52	0.13	0.03	0.551671793295	8
0.12668798909	19.79	0.05	1.31	0.41	0.14	0.03	0.551671793295	8
0.214568258658	20.89	0.03	-0.54	0.26	-0.03	0.02	0.551671793295	8
0.320446988861	21.53	0.04	0.18	0.52	-0.1	0.03	0.551671793295	8
0.218347445403	21.11	0.04	0.22	0.27	0.09	0.02	0.551671793295	8
0.189706566951	20.65	0.03	0.83	0.27	0.04	0.02	0.551671793295	8
0.0929368182	19.06	0.05	0.17	0.22	0.09	0.03	0.551671793295	8
0.379662293575	21.93	0.05	1.34	0.54	-0.02	0.03	0.551671793295	8
0.210938395061	21.21	0.03	-0.1	0.34	0.21	0.02	0.551671793295	8
0.366602898789	22.25	0.09	-1.77	0.81	-0.22	0.06	0.551671793295	8
0.420926821103	22.52	0.07	0.37	0.93	-0.11	0.07	0.551671793295	8
0.258028270562	21.6	0.04	0.09	0.38	0.11	0.03	0.551671793295	8
0.183568404877	21.11	0.04	-0.96	0.3	0.24	0.03	0.551671793295	8
0.212548765094	20.8	0.05	0.6	0.48	0.03	0.03	0.551671793295	8
0.360034211989	22.41	0.07	-1.45	0.58	0.15	0.06	0.551671793295	8
0.393974478272	22.22	0.06	0.6	0.43	-0.07	0.04	0.551671793295	8
0.11471262087	19.38	0.03	-0.45	0.19	-0.03	0.02	1.0	8
0.143705907	19.94	0.03	0.53	0.22	0.05	0.02	0.372920925377	8
0.252486060029	21.35	0.06	0.75	0.55	0.09	0.04	0.551671793295	8
0.387297107465	22.23	0.08	-0.74	0.61	-0.19	0.06	0.551671793295	8
0.348583857544	22.07	0.08	1.04	0.76	0.08	0.05	0.551671793295	8
0.255490620022	21.41	0.07	-0.91	0.53	0.05	0.05	0.551671793295	8
0.216582821954	21.06	0.06	-1.95	0.42	-0.1	0.05	0.551671793295	8
0.43	22.63	0.15	-1.52	1.16	0.17	0.08	0.551671793295	9
0.62	23.29	0.08	3.6	1.07	-0.08	0.08	0.551671793295	9
0.57	23.39	0.07	-1.56	0.61	0	0.08	0.551671793295	9
0.3	21.92	0.05	-2.33	0.35	-0.01	0.05	0.551671793295	9
0.38	22.61	0.05	-1.44	0.32	-0.13	0.06	0.551671793295	9
0.43	22.58	0.08	-0.83	1.09	-0.25	0.15	0.551671793295	9
0.24	21.64	0.15	3.09	1.85	0.23	0.15	0.551671793295	9
0.44	22.73	0.06	-1.62	0.3	-0.09	0.05	0.551671793295	9
0.5	23.12	0.07	-0.71	0.34	-0.01	0.04	0.551671793295	9
0.97	24.69	0.14	0.53	1.37	0.5	0.27	0.551671793295	9
0.479	22.69	0.07	-0.23	0.64	-0.16	0.07	0.551671793295	9
0.83	24.31	0.11	0.33	0.74	0.05	0.06	0.551671793295	10
0.416	22.32	0.09	0.44	0.3	-0.31	0.19	0.551671793295	10
0.581	23.19	0.1	0.71	0.8	0.21	0.11	0.551671793295	10
0.45	22.87	0.08	-2.69	0.92	0	0.08	0.551671793295	10
0.579	23.52	0.1	-1.09	0.49	-0.2	0.19	0.551671793295	10
0.32	21.82	0.05	0.51	0.3	-0.03	0.05	0.551671793295	10
0.657	23.86	0.11	-0.09	0.74	0.07	0.18	0.551671793295	10
0.43	22.56	0.08	-0.26	0.35	0.02	0.21	0.551671793295	10
0.472	23.13	0.06	-0.63	0.48	0.15	0.13	0.551671793295	10
